num	attraction	ranking	rating	review_num	address	street	locality	category	phone	duration	hours	neighborhood	description	tags	languages	sitelink
238	Knightsbridge	#273	4.0 	228	London, England	"missing"	London, 	 Neighborhoods, Sights & Landmarks, Other	"missing"	"missing"	"missing"	Knightsbridge	Sandwiched between Kensington, Belgravia and Mayfair, this is one of the most exclusive and pricey areas in London known for up-scale shops and restaurants.	harvey nichols; brompton road; hyde park; harrods department store; piccadilly line; including harrods; high end stores; luxury shopping; visit harrods; south kensington; motor vehicles; million pounds; great shopping; souvenir shops; underground station; shopping experience; food hall	English (133); Chinese (Sim.) (27); Chinese (Trad.) (27); Italian (21); Japanese (17); Portuguese (17); Russian (11); Spanish (9); Arabic (7); German (4); Greek (2); French (1); Korean (1); Polish (1); Swedish (1)	/Attraction_Review-g186338-d188042-Reviews-Knightsbridge-London_England.html
239	Leicester Square	#276	4.0	1,549	Leicester Square, London, England	Leicester Square	London, 	 Theaters, Points of Interest & Landmarks, Sights & Landmarks, Concerts & Shows	+44 20 7434 4243	"missing"	"missing"	Soho	"missing"	street performers; theatre tickets; christmas market; film premieres; lego store; tkts booth; covent garden; william shakespeare; piccadilly circus; souvenir shops; m ms; west end; premiers; odeon; tourists; statue; fountain	English (1,094); Italian (112); Portuguese (93); Spanish (75); French (43); Chinese (Sim.) (40); Chinese (Trad.) (40); Japanese (24); German (20); Dutch (19); Russian (17); Korean (9); Greek (8); Arabic (6); Swedish (6); Danish (4); Hebrew (4); Polish (3); Czech (2); Indonesian (2); Norwegian (2); Turkish (2); Finnish (1); Thai (1)	/Attraction_Review-g186338-d189780-Reviews-Leicester_Square-London_England.html
240	Portobello Road Market	#274	4.0	3,698	Portobello Road | Jcn. of Westbourne Park Road, London W11 1LU, England	Portobello Road	London W11 1LU, 	 Flea & Street Markets, Shopping	"missing"	Suggested Duration: 2-3 hours	Closed Now Sun - Thu9:00 AM - 6:00 PMThu7:00 PM - 10:00 PMFri - Sat9:00 AM - 7:00 PMHours Hours Today: 9:00 AM - 7:00 PM	Notting Hill	Portobello Road is probably the world’s best known market. Though famous for antiques, that’s not all there is. It’s a haven for lovers of fashion, food, books and music; anyone who wants to find something unique or loves a bargain. It’s real London with real people, loads of character and treasure and bargains to discover. We hope you’ll visit soon.	notting hill; antique shops; ladbroke grove; food stalls; vintage clothing; great market; fruit and veg; stalls selling; stall holders; for sale; tube station; vendors; souvenirs; nottinghill; wares; collectibles; tourists	English (1,821); Italian (636); Spanish (355); Portuguese (279); French (194); German (95); Chinese (Sim.) (75); Chinese (Trad.) (75); Japanese (71); Swedish (48); Russian (38); Dutch (37); Danish (21); Korean (21); Greek (14); Norwegian (14); Turkish (13); Hebrew (8); Polish (8); Arabic (3); Czech (3); Hungarian (3); Indonesian (1)	/Attraction_Review-g186338-d189016-Reviews-Portobello_Road_Market-London_England.html
241	National Maritime Museum	#270	4.0 	1,626	Park Row, London SE10 9NF, England	Park Row	London SE10 9NF, 	 Specialty Museums, Museums	+44 20 8312 6608	Suggested Duration: 2-3 hours	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	Greenwich	Experience the world's largest maritime museum, filled with inspirational stories of exploration and endeavour at sea and packed to the gunwales with intriguing objects and fascinating galleries. See the uniform Nelson wore at the Battle of Trafalgar, steer a ship into port and fire at pesky pirates.	cutty sark; royal observatory; east india company; greenwich park; slave trade; world map; admiral nelson; model ships; queens house; on display; special exhibition; naval college; interesting exhibits; free entry; painted hall; british history; couple of hours	English (1,368); Italian (58); Portuguese (41); Chinese (Sim.) (38); Chinese (Trad.) (38); French (34); German (28); Russian (25); Spanish (23); Japanese (14); Dutch (10); Swedish (5); Polish (4); Czech (2); Danish (2); Finnish (2); Korean (2); Greek (1); Hebrew (1); Indonesian (1); Norwegian (1)	/Attraction_Review-g186338-d187600-Reviews-National_Maritime_Museum-London_England.html
242	Granary Square	#267	4.5	97	4 Stable Street, London N1C 4AB, England	4 Stable Street	London N1C 4AB, 	 Points of Interest & Landmarks, Sights & Landmarks	+44 20 3479 1795	"missing"	"missing"	"missing"	"missing"	kings cross; dancing fountains; st pancras; change of clothes; regent's canal; urban beach; nice square; great for kids; martins; development; kerb; waitrose; illustrations; arts; trees; path; screening	English (86); Italian (4); French (3); Chinese (Sim.) (1); Dutch (1); German (1); Portuguese (1)	/Attraction_Review-g186338-d5570751-Reviews-Granary_Square-London_England.html
243	Carnaby Street	#272	4.0	1,183	 | Soho, London W1F, England	"missing"	London W1F, 	 Neighborhoods, Points of Interest & Landmarks, Other, Sights & Landmarks	+44 20 7333 8118	"missing"	"missing"	Soho	"missing"	kingly court; christmas lights; interesting shops; window shopping; oxford circus; great shopping; worth a visit; couple of hours; libertys; shoes; shoppers; browse; clothing; stroll; tourists	English (631); Italian (208); French (95); Spanish (85); Portuguese (47); German (29); Chinese (Trad.) (24); Japanese (18); Russian (13); Swedish (13); Dutch (10); Norwegian (7); Arabic (5); Danish (5); Greek (5); Korean (5); Turkish (3); Polish (2); Thai (1)	/Attraction_Review-g186338-d215375-Reviews-Carnaby_Street-London_England.html
244	Crystal Palace Park	#277	4.5 	291	Thicket Road, London SE20 8DT, England	Thicket Road	London SE20 8DT, 	 Nature & Parks	+44 20 8778 9496	"missing"	"missing"	"missing"	"missing"	boating lake; children's playground; sand pit; petting zoo; sports stadium; city farm; hedge maze; lots of open space; great exhibition; water birds; dinosaur area; picnic area; public toilets; life size; nice walk; great for kids; steeped in history	English (262); Italian (9); Portuguese (7); Spanish (6); Russian (4); French (2); Polish (2)	/Attraction_Review-g186338-d590940-Reviews-Crystal_Palace_Park-London_England.html
245	Boleyn Ground	#278	4.5 	80	Boleyn Ground Green Street, London E13 9AZ, England	Boleyn Ground Green Street	London E13 9AZ, 	 Arenas & Stadiums, Sights & Landmarks	+44 20 8548 2748	"missing"	"missing"	"missing"	"missing"	missing	English (40); Italian (13); German (5); Japanese (4); Norwegian (4); Portuguese (3); Russian (3); French (2); Dutch (1); Finnish (1); Korean (1); Polish (1); Spanish (1); Swedish (1)	/Attraction_Review-g186338-d3476007-Reviews-Boleyn_Ground-London_England.html
246	Abbey Road	#279	4.0 	1,353	3 Abbey Road, London NW8 9AY, England	3 Abbey Road	London NW8 9AY, 	 Historic Sites, Historic Walking Areas, Points of Interest & Landmarks, Sights & Landmarks, More 	+44 20 7266 7000	"missing"	"missing"	"missing"	Walk this historic street in London and you are transported back to the turbulent era of the 1960s and the musical phenomenon of the Beatles.	zebra crossing; beatles fans; john's wood; famous beatles; famous crosswalk; cross walk; recording studio; famous picture; beatles album cover; die hard beatles fan; music history; music fan; taking pictures; jubilee line; underground station; bucket list; gift shop	English (620); Portuguese (243); Spanish (203); Italian (118); Japanese (70); French (37); German (20); Russian (17); Dutch (8); Korean (5); Norwegian (4); Danish (3); Indonesian (2); Swedish (2); Czech (1); Greek (1)	/Attraction_Review-g186338-d190102-Reviews-Abbey_Road-London_England.html
247	Leicester Square Theatre	#264	4.5 	139	6 Leicester Place, London WC2H 7BX, England	6 Leicester Place	London WC2H 7BX, 	 Theaters, Concerts & Shows	+44 844 873 3433	Suggested Duration: 1-2 hours	Closed Now Sun - Sat2:00 PM - 10:00 PMHours Hours Today: 2:00 PM - 10:00 PM	Soho	LST is a magnificently restored theatre located in the heart of the West End with two exceptional spaces running a healthy programme of comedy, cabaret, dance, music and theatre. The 400 seat theatre boasts 2 bars perfectly positioned in the auditorium with newly-installed cinema style seating and a second intimate Lounge Theatre with a capacity of up to 70 with its own bar and cabaret-style seating.	frankie boyle; intimate venue; stand up comedy; great comedy; cheap tickets; ladies toilets; great seats; tube station; auditorium; comedian; stage; acts; panto; improvisation; interval; performance; queue	English (135); Dutch (1); Polish (1); Portuguese (1); Russian (1)	/Attraction_Review-g186338-d5214506-Reviews-Leicester_Square_Theatre-London_England.html
248	Guards Museum	#280	4.0 	215	Wellington Barracks Birdcage Walk | Birdcage Walk, London SW1E 6HQ, England	Wellington Barracks Birdcage Walk	London SW1E 6HQ, 	 Specialty Museums, Museums	+44 20 7414 3271	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:00 AM - 4:00 PMHours Hours Today: 10:00 AM - 4:00 PM	Westminster	"missing"	wellington barracks; military history; buckingham palace; foot guards; birdcage walk; welsh guards; ex guards; irish wolfhound; small admission fee; introductory video; related items; written information; toy shop; an interesting place to visit; london pass; worth a visit; on display	English (171); French (8); Spanish (8); Italian (7); Japanese (6); German (4); Portuguese (4); Dutch (3); Chinese (Sim.) (1); Hebrew (1); Russian (1); Swedish (1)	/Attraction_Review-g186338-d211896-Reviews-Guards_Museum-London_England.html
249	Kensington	#281	4.5 	127	London, England	"missing"	London, 	 Neighborhoods, Other, Sights & Landmarks	+44 20 7872 2888	"missing"	"missing"	"missing"	"missing"	holland park; nice area to walk; walk around; parks; architecture; stroll; tourists; wealthy; homes	English (55); Japanese (17); Spanish (17); Chinese (Trad.) (15); Portuguese (10); Russian (9); Italian (7); German (3); Arabic (1); French (1); Norwegian (1); Polish (1); Turkish (1)	/Attraction_Review-g186338-d218012-Reviews-Kensington-London_England.html
250	Marylebone	#283	4.5	134	73, London, England	73	London, 	 Specialty Museums, Museums	"missing"	"missing"	"missing"	Marylebone	"missing"	wallace collection; edgware road; catholic church; specialist shops; wigmore hall; mainline station; unique shops; chiltern firehouse; sherlock homes; transport links; wembley stadium; regents park; oxford st; madame tussauds; chilterns; waitrose; stroll	English (92); Japanese (10); Spanish (9); Italian (5); Portuguese (5); Russian (4); French (3); Czech (2); Arabic (1); Danish (1); German (1); Norwegian (1)	/Attraction_Review-g186338-d218013-Reviews-Marylebone-London_England.html
251	Chiswick	#282	4.5 	67	London W4, England	"missing"	London W4, 	 Neighborhoods, Other, Sights & Landmarks	+44 7950 576767	"missing"	"missing"	"missing"	This family-friendly area retains many original 18th-century houses along the Thames.	turnham green terrace; fullers brewery; walk along the river; central london; turnham green tube station; devonshire road; stamford brook; amazing area; tube ride; independent shops; lovely place to visit; lots of shops; thames; parks; mews; stroll	English (45); Italian (5); Spanish (4); French (3); Portuguese (3); Russian (3); Dutch (2); German (1); Japanese (1); Swedish (1)	/Attraction_Review-g186338-d297128-Reviews-Chiswick-London_England.html
252	King's Cross Theatre	#284	4.0 	450	Goods Way, London N1C 4UR, England	Goods Way	London N1C 4UR, 	 Theaters, Concerts & Shows	+44 844 871 7604	"missing"	"missing"	Euston / Kings Cross /St Pancras	"missing"	railway children; steam train; temporary structure; bowie fan; david bowie; all ages; front row seats; cheap tickets; both sides; pre show; matinee performance; great play; great cast; older children; west end; platform; track	English (440); Dutch (3); Italian (2); Russian (2); Danish (1); Japanese (1); Norwegian (1)	/Attraction_Review-g186338-d7351965-Reviews-King_s_Cross_Theatre-London_England.html
253	Leadenhall Market	#286	4.0 	509	Gracechurch Street, London EC3V 1LR, England	Gracechurch Street	London EC3V 1LR, 	 Flea & Street Markets, Shopping	+44 20 7909 1073	"missing"	"missing"	City of London	Leadenhall is a thriving Victorian covered retail centre with a wide range of goods on sale. Its cobbled walkways and glass roof make it an attractive place to shop, eat and drink or simply to relax. Famous visitors include John Wayne, Clint Eastwood and Harry Potter.	diagon alley; harry potter; covered market; victorian architecture; leaky cauldron; city workers; office workers; cheese shop; roman forum; lovely shops; nice architecture; financial area; wonderful victorian; shop fronts; square mile; worth a stop; victorian times	English (299); Spanish (50); French (43); Italian (37); Chinese (Trad.) (32); German (27); Portuguese (22); Japanese (12); Dutch (6); Russian (4); Danish (2); Korean (2); Norwegian (2); Finnish (1); Greek (1); Hebrew (1); Polish (1)	/Attraction_Review-g186338-d211842-Reviews-Leadenhall_Market-London_England.html
254	Barbican Centre	#285	4.0 	1,198	Silk Street, London EC2Y 8DS, England	Silk Street	London EC2Y 8DS, 	 Theaters, Concerts & Shows	+44 20 7638 8891	"missing"	Closed Now Sun10:00 AM - 11:00 PMMon - Sat9:00 AM - 11:00 PMHours Hours Today: 9:00 AM - 11:00 PM	City of London	The Barbican Centre is the largest multi-arts centre in Europe, featuring art, film, music, theatre, dance and education all under one roof and under one creative direction. There's a great choice of eating and drinking at the Barbican, with something to please every taste.	concert hall; brutalist architecture; symphony orchestra; architectural tour; royal shakespeare company; arts venue; water features; classical music; art galleries; comfortable seats; afternoon tea; cinema; exhibition; lso; acoustics; rsc; moorgate	English (1,046); Chinese (Trad.) (44); Japanese (24); Spanish (24); Italian (22); Portuguese (20); Russian (15); German (12); French (10); Dutch (8); Korean (4); Polish (4); Arabic (1); Danish (1); Indonesian (1); Norwegian (1); Swedish (1)	/Attraction_Review-g186338-d553600-Reviews-Barbican_Centre-London_England.html
264	St Bride's	#297	4.5 	90	18 Fleet Street | Fleet Street, London EC4Y 1AA, England	18 Fleet Street	London EC4Y 1AA, 	 Sacred & Religious Sites, Historic Sites, Churches & Cathedrals, Sights & Landmarks, More 	+44 7956 983230	Suggested Duration: < 1 hour	Closed Now Sun10:00 AM - 6:30 PMMon - Fri8:00 AM - 6:00 PMSat10:00 AM - 3:30 PMHours Hours Today: 8:00 AM - 6:00 PM	City of London	"Just down the road from majestic St Paul''s Cathedral is another of Sir Christopher Wren''s creations, the little known church of St Bride''s, also called '"The Journalists'' Church.'" Tucked away in a busy corner of Fleet Street, it is easy to miss, but look out for the towering steeple. It may look unremarkable next to the grandeur of St Paul''s, but this tiny church was the home of the first printing press, inspired the multilayered wedding cake and triggered a row between Benjamin Franklin and George the III. Among the parishioners of this church were such literary figures as Milton, Dryden, Johnson and Pepys. St Bride takes its name from the Irish saint St Bridget of Kildare, a 5th century Irish saint famous for her hospitality, who founded several churches. Since then, several reconstructions have followed. After the original church was destroyed by the Great Fire of London in 1666, Sir Christopher Wren redesigned the building in 1673. His building, in turn, was destroyed by bombing during the Second World War, but the much-admired steeple survived. The present building is a reconstruction of Wren''s design. As you step into the church, you will notice the several memorials to journalists, newspapers and the printing trade. In 1500 William Caxton''s assistant, the aptly named Wynkyn de Worde, brought the first moveable type printing press to the church courtyard. It was used to print religious books and messages from the clergy, and later to print books and plays. Nearby churches also began to set up printing presses, and ever since then Fleet Street has been the centre of the publishing industry. Writers including Samuel Johnson, Boswell and Pope lived near St Bride''s. That quintessential Londoner, Samuel Pepys, was born just around the corner and baptized in St Bride''s. The journalist''s altar at one end of the church was established when hostages were being taken in the Middle East. It now commemorates journalists killed or injured worldwide. A brass plaque also commemorates the 300th anniversary of the founding of the world''s first daily newspaper, the Daily Courant, in 1702. The graceful spire, originally 234 feet, is the tallest of Wren''s steeples and has inspired many a poet. Among these was W.E. Henley, who in his poem '"The Song of the Sword'" described the spire thus, The while the fanciful, formal finicking charm Of Bride''s, that madrigal of the stone Grows flushed and warm And beauteous with a beauty not its own. The spire also inspired a Fleet Street confectioner called Thomas Rich, who made a replica of the spire in icing, a model for the traditional wedding cake still seen today. The party dress of Rich''s wife is displayed in a glass case in the church, perhaps in thanks for her contribution! The steeple also triggered a comical row between King George the III and scientist Benjamin Franklin. In 1764 the spire was struck by lightening, which reduced its height by 8 feet. Franklin, by then considered an expert on lightning, was asked to advise the King on the installation of lightening rods. Franklin suggested installing conductors with pointed ends, but the King wanted to install blunt ones. Not surprisingly, the King got his way. The British political press was delighted with the outcome, and published propaganda gleefully praising the King '"as good blunt honest George'" while the hapless Franklin was described as '"a sharp-witted colonist.'" The church has other connections to America. The parents of Virginia Dare, the first white child born in America and named after the state of Virginia, were married in this church in 1584. A bust of Virginia was originally displayed in the church, but was later stolen. A replica stands in its place. Edward Winslow, one of the leaders of the Mayflower and later Governor of Plymouth in Massachusetts, was also married in this church. It was not until 1953 that archeologists discovered that St Bride''s stands on Roman remains dating back to the 2nd century A.D, including a Roman pavement. On a grislier note the church crypt was also found to contain thousands of human remains, thought to belong to victims of the Great Plague of 1665 and the cholera epidemic of 1854. These have now been given a proper burial, and visitors interested in the church''s Roman origins can now enter the crypt to see the original Roman ruins. by Kavitha Rao"	fleet street; christopher wren; roman pavement; beautiful church; present church; piano recital; paul's cathedral; household names; bomb damage; free exhibition; interesting artifacts; second world war; worth a visit; small museum; on display; crypt; steeple	English (75); Japanese (4); French (3); Italian (3); Russian (2); Spanish (2); Portuguese (1)	/Attraction_Review-g186338-d214626-Reviews-St_Bride_s-London_England.html
756	Cardinal Place	#822	4.0 	40	Victoria St, London, England	Victoria St	London, 	 Shopping Malls, Shopping	+44 870 400 0660	"missing"	"missing"	Westminster	"missing"	la tasca; victoria area; glass building; westminster cathedral; victoria station; wagamama; afar; housed	English (35); Italian (2); Arabic (1); Portuguese (1); Spanish (1)	/Attraction_Review-g186338-d593996-Reviews-Cardinal_Place-London_England.html
255	Serpentine Galleries	#289	4.0 	334	Kensington Gardens, London W2 3XA, England	Kensington Gardens	London W2 3XA, 	 Art Galleries, Shopping, Museums	+44 20 7402 6075	Suggested Duration: 1-2 hours	Closed Now Tue - Sun10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"	The Serpentine comprises two galleries situated 5 minutes walk from each other on either side of The Serpentine Bridge in the heart of the Royal Park of Kensington Gardens in central London. The Serpentine Gallery, established in 1970, and the Serpentine Sackler Gallery, designed by Zaha Hadid Architects in 2013, present world-renowned exhibitions of art, architecture and design throughout the year. Admission is free. Open 10am - 6pm, Tuesday - Sunday, plus bank holidays	grayson perry exhibition; kensington gardens; sackler gallery; hyde park; contemporary art; summer pavilion; gallery space; zaha hadid; social commentary; lovely gallery; free exhibition; each piece; albert memorial; worth a visit; on display; beautiful park; great place to visit	English (265); Chinese (Sim.) (23); Portuguese (15); Italian (14); Spanish (14); French (8); Japanese (6); Russian (3); German (2); Dutch (1); Greek (1); Hebrew (1); Korean (1); Polish (1); Swedish (1)	/Attraction_Review-g186338-d211829-Reviews-Serpentine_Galleries-London_England.html
256	City Hall	#290	4.0 	230	City Hall 110 The Queens Walk, London SE1 2AA, England	City Hall 110 The Queens Walk	London SE1 2AA, 	 Architectural Buildings, Government Buildings, Sights & Landmarks	+44 20 7983 4100	"missing"	Closed Now Mon - Thu8:30 AM - 6:00 PMFri8:30 AM - 5:30 PMHours Hours Today: 8:30 AM - 5:30 PM	Southwark	City Hall is home to the Mayor of London, the London Assembly and the GLA, who in July 2002 became tenants of this striking rounded glass building on the south bank of the Thames near Tower Bridge. Members of the public may visit parts of City Hall Monday to Friday from 8am to 8pm and on occasional weekends.	the lower ground floor; interesting building; tower bridge; boris johnson; open to the public; designed by sir norman foster; reception floor; spiral ramp; fields park; unique architecture; bag check; thames river; hms belfast; nice walk; south bank; on display; chamber	English (96); Spanish (32); Italian (28); Portuguese (25); Japanese (14); Russian (11); French (8); German (6); Korean (5); Chinese (Trad.) (3); Czech (1); Greek (1); Indonesian (1); Polish (1)	/Attraction_Review-g186338-d262421-Reviews-City_Hall-London_England.html
257	Bayswater	#287	4.0 	197	London, England	"missing"	London, 	 Neighborhoods, Sights & Landmarks, Other	+44 20 7229 4573	"missing"	"missing"	Notting Hill	Located next to Hyde Park, this London district is full of historical interest, along with the famous antique market in Portobello Road and a wide range of shops, cinemas and restaurants.	kensington gardens; close to hyde park; notting hill; souvenir shops; oxford street; inverness terrace; lancaster gate; transport links; central line; tube station; tesco; magnet; muslim; tourists; stops; stroll; westminster	English (93); Italian (24); Portuguese (18); Spanish (18); French (9); Russian (9); Japanese (8); Swedish (5); German (3); Arabic (2); Danish (2); Dutch (2); Finnish (1); Greek (1); Hungarian (1); Korean (1); Norwegian (1); Turkish (1)	/Attraction_Review-g186338-d188723-Reviews-Bayswater-London_England.html
258	Shaftesbury Theatre	#292	4.0 	820	210 Shaftesbury Avenue, London WC2H 8DP, England	210 Shaftesbury Avenue	London WC2H 8DP, 	 Theaters, Concerts & Shows	+44 20 7379 5399	Suggested Duration: More than 3 hours	"missing"	Holborn	Shaftesbury Theatre at the top of Shaftesbury Avenue.	diana ross; berry gordy; royal circle; motown story; stevie wonder; smokey robinson; love motown; motown fan; audience participation; great singing; story line; standing ovation; box office; booked tickets; west end; my mum; great seats	English (794); Danish (5); Italian (4); Spanish (4); French (3); Dutch (2); German (2); Swedish (2); Greek (1); Japanese (1); Norwegian (1); Polish (1)	/Attraction_Review-g186338-d3228314-Reviews-Shaftesbury_Theatre-London_England.html
259	Peter Harrison Planetarium	#291	4.0 	286	Greenwich | at the National Maritime Museum, London SE10 9NF, England	Greenwich	London SE10 9NF, 	 Observatories & Planetariums, Museums	+44 20 8858 4422	"missing"	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	Greenwich	"missing"	royal observatory; sky tonight; solar system; greenwich park; joint ticket; combined ticket; national maritime museum; ask questions; year olds; prime meridian; kids and adults; london visit; worth the trip; free entry; astronomy; astronomer; planets	English (261); Russian (6); Italian (4); Japanese (4); Spanish (3); Korean (2); Portuguese (2); Dutch (1); French (1); German (1); Polish (1); Serbian (1)	/Attraction_Review-g186338-d678565-Reviews-Peter_Harrison_Planetarium-London_England.html
260	Horse Guards Building	#293	4.0 	298	Horse Guards Whitehall, London SW1A 2AX, England	Horse Guards Whitehall	London SW1A 2AX, 	 Historic Sites, Specialty Museums, Museums, Sights & Landmarks	+44 20 7930 3070	"missing"	"missing"	Westminster	"missing"	parade ground; buckingham palace; downing street; household cavalry; beautiful horses; st james park; mounted guards; takes place; interesting building; love horses; queens birthday; guard changing; small museum; churchill war rooms; admission fee; front row; photo opportunities	English (164); Japanese (29); Portuguese (25); Italian (18); German (16); French (12); Russian (10); Spanish (10); Dutch (6); Czech (1); Danish (1); Greek (1); Hebrew (1); Hungarian (1); Polish (1); Swedish (1); Turkish (1)	/Attraction_Review-g186338-d211791-Reviews-Horse_Guards_Building-London_England.html
261	Hippodrome Casino	#294	4.5	974	Cranbourn Street | Leicester Square, London WC2H 7JH, England	Cranbourn Street	London WC2H 7JH, 	 Theaters, Cabarets, Fun & Games, Concerts & Shows, Casinos & Gambling	+44 20 7769 8888	"missing"	"missing"	Soho	"missing"	heliot steakhouse; great casino; smoking terrace; cocktail bar; leicester square; fantastic night; west end; bar staff; burlesque; theatre; slots; lola; elvis; acts; stage; pounds; performance	English (880); Italian (34); Portuguese (12); French (8); Spanish (8); German (7); Japanese (7); Dutch (5); Swedish (5); Danish (2); Greek (2); Russian (2); Norwegian (1); Turkish (1)	/Attraction_Review-g186338-d600980-Reviews-Hippodrome_Casino-London_England.html
262	Dennis Severs' House	#295	4.0	614	18 Folgate Street | Liverpool Street Tube, London E1 6BX, England	18 Folgate Street	London E1 6BX, 	 Specialty Museums, Museums	+44 20 7247 4013	"missing"	"missing"	Spitalfields	"missing"	silk weavers; sounds and smells; unique experience; folgate street; living museum; monday lunchtime; spitalfields market; step back in time; from room to room; sound effects; entry fee; brick lane; century; visitors; art; inhabitants; installation	English (563); German (13); Italian (13); French (9); Russian (5); Spanish (4); Dutch (2); Japanese (2); Greek (1); Portuguese (1); Turkish (1)	/Attraction_Review-g186338-d260507-Reviews-Dennis_Severs_House-London_England.html
263	The New Wimbledon Theatre	#296	4.0	320	93 The Broadway, London SW19 1QG, England	93 The Broadway	London SW19 1QG, 	 Theaters, Concerts & Shows	+44 20 8545 7900	"missing"	"missing"	"missing"	"missing"	west end; sister act; plenty of leg room; upper circle; interval drinks; dress circle; star of the show; comfortable seats; singing and dancing; second half; beautiful building; panto; production; cast; stage; stalls; atg	English (316); German (3); Japanese (1)	/Attraction_Review-g186338-d3592032-Reviews-The_New_Wimbledon_Theatre-London_England.html
265	The London Oratory	#298	4.5	95	Brompton Road | S. Kensington, London SW7 2RP, England	Brompton Road	London SW7 2RP, 	 Architectural Buildings, Sacred & Religious Sites, Sights & Landmarks	+44 20 7808 0900	"missing"	"missing"	Knightsbridge	"missing"	catholic church; brompton road; victoria albert museum; high mass; classical roman; john henry; alfred hitchcock; altar; choir; prayer; sung; sanctuary; harrods; solemn; brampton; congregation; architecture	English (73); Italian (6); French (5); Spanish (4); Portuguese (2); Russian (2); Indonesian (1); Japanese (1); Polish (1)	/Attraction_Review-g186338-d240648-Reviews-The_London_Oratory-London_England.html
266	King's Cross	#299	4.0 	183	London, England	"missing"	London, 	 Neighborhoods, Other, Sights & Landmarks	+44 1760 721922	"missing"	"missing"	"missing"	Located north of central London, this district was largely unpopulated and rural until the mid-18th century, when it became a fashionable spa attracting hundreds of visitors each day.	st pancras; harry potter; mainline station; quick look; photos taken; worth a visit; platform; eurostar; beggars; architecture; century	English (73); Italian (34); Portuguese (22); Spanish (18); Japanese (12); Russian (12); German (7); Chinese (Sim.) (4); Chinese (Trad.) (4); French (2); Korean (2); Swedish (1)	/Attraction_Review-g186338-d188726-Reviews-King_s_Cross-London_England.html
267	Benjamin Franklin House	#301	4.0 	274	36 Craven Street, London WC2N 5NF, England	36 Craven Street	London WC2N 5NF, 	 Historic Sites, Sights & Landmarks	+44 20 7839 2006	Suggested Duration: < 1 hour	Closed Now Wed - Mon10:30 AM - 5:00 PMHours Hours Today: 10:30 AM - 5:00 PM	Trafalgar Square / Embankment	Benjamin Franklin House is the world's only remaining Franklin home. For nearly sixteen years between 1757 and 1775, Dr Benjamin Franklin - scientist, diplomat, philosopher, inventor, Founding Father of the United States and more - lived behind its doors. The Historical Experience presents the excitement and uncertainty of Franklin's London years using his historic rooms as staging for a drama which seamlessly integrates live performance, cutting edge lighting, sound and projection technology.	franklin's life; historical experience; from room to room; american history; actress playing; period costume; charing cross; glass armonica; close to trafalgar square; house tour; declaration of independence; re enactment; video presentation; georgian building; grade listed building; live performance; great man	English (268); Portuguese (4); French (2)	/Attraction_Review-g186338-d262785-Reviews-Benjamin_Franklin_House-London_England.html
268	London Canal Museum	#302	4.0 	231	12-13 New Wharf Road | Kings Cross, London N1 9RT, England	12-13 New Wharf Road	London N1 9RT, 	 History Museums, Museums	+44 20 7713 0836	Suggested Duration: 1-2 hours	Closed Now Tue - Sun10:00 AM - 4:30 PMHours Hours Today: 10:00 AM - 4:30 PM	Euston / Kings Cross /St Pancras	A waterside museum of London's canals and the Victorian ice trade, set in a former ice warehouse of the 1860s. It tells the colourful story of the canals, their people, horses and trade. Peer down into a huge ice well, uniquely preserved, and learn about the ice trade. Go inside a narrowboat cabin, meet the horse, and watch archive film. Free MP3 audio tour for download from the museum website for your own player.	canal boat; kings cross; regents canal; canal life; industrial revolution; kings x; canal network; living quarters; an interesting place; couple of hours; worth a visit; st pancras; interesting information; london's history; entrance fee; camden lock; little venice	English (213); German (6); Dutch (2); French (2); Italian (2); Russian (2); Japanese (1); Polish (1); Spanish (1); Swedish (1)	/Attraction_Review-g186338-d211620-Reviews-London_Canal_Museum-London_England.html
269	West Ham United FC	#303	4.5 	121	Boleyn Ground Green Street, London E13 9AZ, England	Boleyn Ground Green Street	London E13 9AZ, 	 Sports Complexes, Fun & Games	697 2532 95 	"missing"	"missing"	"missing"	"missing"	upton park; olympic stadium; great stadium; ground; chelsea; queue	English (82); Italian (11); Russian (6); Spanish (6); Portuguese (4); Swedish (4); German (3); Japanese (2); Norwegian (2); Dutch (1); French (1)	/Attraction_Review-g186338-d2711852-Reviews-West_Ham_United_FC-London_England.html
