num	attraction	duration	hours	description
150	West Ham United FC	"missing"	"missing"	"missing"
151	Virgin Money London Marathon	"missing"	"missing"	"missing"
152	The London Silver Vaults	"missing"	Closed Now Mon - Fri9:00 AM - 5:30 PMSat9:00 AM - 1:00 PMHours Hours Today: 9:00 AM - 5:30 PM	"missing"
153	Handel & Hendrix in London	"missing"	Closed Now Mon - Sat11:00 AM - 6:00 PMHours Hours Today: 11:00 AM - 6:00 PM	In a single street in London, separated by a wall, are the homes of two of history's most significant musical artists. 25 Brook Street is the house that belonged to George Frideric Handel and the place where he composed some of the world's most enduring baroque music, including Messiah. On the top floor of 23 Brook Street is the flat where, two centuries later, Jimi Hendrix lived with his girlfriend, record player and guitar. Both were the homes of musical innovators who chose London and changed music. See them together under one roof at Handel & Hendrix in London.
154	Queen Elizabeth Olympic Park	"missing"	"missing"	A new heart for east London, Queen Elizabeth Olympic Park is the city's newest park. It will be a new home to thousands and a new destination for millions. The Park is now open for the public to visit and is already coming alive as visitors explore its unique parklands, waterways, venues and attractions. The north of the Park and the Copper Box Arena opened in 2013 with a series of incredible festivals and concerts, and the south of the Park, including three iconic venues and the ArcelorMittal Orbit, opened in April 2014.
155	Hay's Galleria	"missing"	"missing"	"missing"
156	Alice's Adventures Underground	"missing"	"missing"	"missing"
157	Haymarket Theatre Royal	"missing"	"missing"	Fatal Attraction - The timeless thriller comes to the stage for the first time. Fatal Attraction is the new psychological thriller play at the Theatre Royal Haymarket based on the 1987 hit movie. The play is produced and directed by Sir Trevor Nunn and is at the Theatre Royal Haymarket for a limited fifteen week run until the 21st June.
158	London Transport Museum	Suggested Duration: 2-3 hours	Closed Now Fri11:00 AM - 6:00 PMSat - Thu10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	This museum whisks you on a journey of London's transportation system since 1800, through fascinating and colorful displays, bus and tube simulators and many family-friendly interactive games and activities.
159	Clink Prison Museum	"missing"	Closed Now Mon - Fri10:00 AM - 6:00 PMSat - Sun10:00 AM - 7:30 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
160	St. Paul's Church (The Actors' Church)	"missing"	Closed Now Sun9:30 AM - 1:00 PMMon - Fri8:30 AM - 5:00 PMHours Hours Today: 8:30 AM - 5:00 PM	"missing"
161	Library and Museum of Freemasonry	"missing"	Closed Now Mon - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
162	Albert Bridge	"missing"	"missing"	This cantilever and suspension bridge, completed in 1873, is especially beautiful at night.
163	Diana Princess of Wales Memorial Fountain	"missing"	Closed Now Sun - Sat6:00 AM - 4:15 PMHours Hours Today: 6:00 AM - 4:15 PM	"missing"
164	Winston Churchill Statue	"missing"	"missing"	"missing"
165	Stamford Bridge	"missing"	Closed Now Sun - Sat10:00 AM - 3:00 PMHours Hours Today: 10:00 AM - 3:00 PM	"missing"
166	Westfield Stratford City	Suggested Duration: More than 3 hours	Closed Now Sun12:00 PM - 6:00 PMMon - Fri10:00 AM - 9:00 PMSat9:00 AM - 9:00 PMHours Hours Today: 10:00 AM - 9:00 PM	"missing"
167	St. James's Church	"missing"	Closed Now Sun - Sat8:00 AM - 6:30 PMHours Hours Today: 8:00 AM - 6:30 PM	"missing"
168	Fenton House	"missing"	Closed Wed - Sun11:00 AM - 5:00 PMHours Hours Today: Closed	"missing"
169	Middle Temple Hall	"missing"	Closed Now Sun - Thu8:00 AM - 11:00 PMFri - Sat8:00 AM - 1:00 AMHours Hours Today: 8:00 AM - 11:00 PM	"missing"
176	Wimbledon Common	"missing"	"missing"	The Commons offer 1,140 acres of calm and tranquillity in the midst of the urban surroundings of Wimbledon, Putney and Kingston-upon-Thames. Recognised as a Site of Special Scientific Interest and a Special Area of Conservation, the Commons are made up of woodland, scrubland, heathland and grassed recreation areas, along with 40 acres of playing fields, a golf course and nine ponds. Home to an incredible variety of bird, animal and plant life, the Commons are open to the public 24 hours a day throughout the year
177	Jack the Ripper Museum	Suggested Duration: 1-2 hours	"missing"	The museum at 12 Cable Street is a museum dedicated to the history of the East London in the 1880's, providing a serious examination of the crimes of Jack the Ripper within the social context of the period. For the first time it tells the story of the man known as 'Jack the Ripper' from the perspective of six of the women who were his victims.
178	James Freeman Gallery	Suggested Duration: 1-2 hours	"missing"	"missing"
179	Golden Jubilee Bridges	"missing"	"missing"	"missing"
180	Kensington High Street	"missing"	"missing"	"missing"
181	St. Clement Danes	"missing"	"missing"	"missing"
182	Queen Elizabeth II Great Court	"missing"	"missing"	Part of the British Museum, this glass-covered atrium over the museum’s central courtyard contains priceless sculptures in the forecourt along with a restaurant, café, education center and center for young adults.
183	Golders Hill Park	"missing"	"missing"	"missing"
184	Young Vic	"missing"	Closed Now Mon - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	We have the most diverse and engaged audience in London, enjoying work of the highest quality at low prices. In our award-winning super-flexible theatre, you'll never feel you're in the same place twice.
185	Jubilee Gardens	"missing"	"missing"	"missing"
186	I Am the Greatest - Muhammad Ali at The O2	Suggested Duration: 1-2 hours	"missing"	"missing"
187	Hammersmith Apollo Theatre	"missing"	Closed Now Sun - Sat8:00 AM - 10:00 PMHours Hours Today: 8:00 AM - 10:00 PM	"missing"
188	Hatton Garden	Suggested Duration: < 1 hour	"missing"	"missing"
189	Chinatown	Suggested Duration: 2-3 hours	"missing"	"missing"
190	Theatre Royal Stratford East	"missing"	Closed Now Sun12:00 PM - 11:00 PMMon - Thu10:00 AM - 11:00 PMFri - Sat10:00 AM - 12:00 AMHours Hours Today: 10:00 AM - 11:00 PM	"missing"
191	Playhouse Theatre	"missing"	"missing"	"missing"
192	Ambassadors Theatre	Suggested Duration: 2-3 hours	"missing"	"missing"
193	The Crystal	"missing"	Closed Now Tue - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
194	The Victoria Tower Gardens	"missing"	"missing"	"missing"
195	Garden Lodge Queen, Londra	"missing"	"missing"	"missing"
196	Winter Wonderland	Suggested Duration: More than 3 hours	"missing"	"missing"
197	Chiswick House	"missing"	Closed Sat - Sun10:00 AM - 4:00 PMHours Hours Today: Closed	"missing"
198	Old Bailey	"missing"	"missing"	"missing"
199	Street Feast Dalston Yard	Suggested Duration: 1-2 hours	Closed Fri5:00 PM - 12:00 AMSat12:00 PM - 12:00 AMHours Hours Today: Closed	"missing"
200	Hampstead Theatre	"missing"	Closed Now Mon - Sat10:00 AM - 10:30 AMHours Hours Today: 10:00 AM - 10:30 AM	"missing"
201	Marble Arch Theatre	Suggested Duration: 2-3 hours	"missing"	"missing"
202	Women of World War II Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
203	The Old Truman Brewery	"missing"	Closed Now Sun - Sat11:00 AM - 7:00 PMHours Hours Today: 11:00 AM - 7:00 PM	"missing"
204	Donmar Warehouse	"missing"	Closed Now Mon - Sat10:00 AM - 7:30 PMHours Hours Today: 10:00 AM - 7:30 PM	"missing"
205	Boadicea Monument	"missing"	"missing"	"missing"
206	Hill Garden & Pergola	"missing"	"missing"	"missing"
207	Bishop's Park	"missing"	"missing"	"missing"
208	Royal Festival Hall	"missing"	Closed Now Sun - Sat10:00 AM - 11:00 PMHours Hours Today: 10:00 AM - 11:00 PM	"missing"
209	Waterloo mainline station	Suggested Duration: < 1 hour	"missing"	"missing"
210	London Bridge	Suggested Duration: < 1 hour	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
211	Bankside	"missing"	"missing"	"missing"
212	English National Ballet Nutcracker	Suggested Duration: 2-3 hours	"missing"	"missing"
213	Cleopatra's Needle	"missing"	"missing"	"missing"
214	BT Tower (The British Telecom Tower)	Suggested Duration: < 1 hour	Closed Thu12:00 AM - 11:59 PMHours Hours Today: Closed	"missing"
215	The Arts Theatre	"missing"	Closed Now Sun12:00 PM - 4:00 PMMon - Sat12:00 PM - 6:00 PMHours Hours Today: 12:00 PM - 6:00 PM	"missing"
216	Howling Hops	Suggested Duration: 2-3 hours	"missing"	"missing"
217	Serpentine Boating Lake	"missing"	"missing"	"missing"
218	Soho Square	Suggested Duration: < 1 hour	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
219	Kings Place	"missing"	Closed Now Mon - Fri7:30 AM - 8:00 PMSat - Sun10:00 AM - 8:00 PMHours Hours Today: 7:30 AM - 8:00 PM	"missing"
220	Edward Smith Stanley Statue	Suggested Duration: < 1 hour	"missing"	"missing"
221	The Arch Climbing Wall	Suggested Duration: 2-3 hours	Closed Now Mon - Fri6:30 AM - 10:30 PMSat - Sun10:00 AM - 9:00 PMHours Hours Today: 6:30 AM - 10:30 PM	"missing"
222	Charing Cross Road	"missing"	"missing"	"missing"
223	Lloyds of London	"missing"	Closed Now Mon - Fri9:00 AM - 5:00 PMHours Hours Today: 9:00 AM - 5:00 PM	"missing"
224	London Central Mosque	"missing"	"missing"	"missing"
225	King's Head Theatre	"missing"	Closed Now Sun12:00 PM - 1:00 AMMon - Thu11:00 PM - 1:00 AMFri - Sat11:00 PM - 2:00 AMHours Hours Today: 11:00 PM - 1:00 AM	"missing"
226	Parliament Hill Fields	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
227	Clissold Park	"missing"	"missing"	"missing"
228	ExCeL London	Suggested Duration: More than 3 hours	"missing"	ExCeL London is home to a huge range of events, including two of the UK's largest exhibitions - The London International Boat Show and The British International Motor Show. Whether your passion is property or golf, diving or music, interior design or motorcycles, ExCeL London has a show that will inspire, excite, and entertain. We are situated at Royal Victoria Dock, within a 100-acre waterfront campus, which includes a variety of hotels, bars and restaurants. For information on staying over, eating and drinking, travel to the venue, or any other customer service enquiries, please visit our website or contact us via email.
268	Wireless Festival	"missing"	"missing"	"missing"
416	Tooting Common	Suggested Duration: 1-2 hours	"missing"	"missing"
229	Harvey Nichols	"missing"	Closed Now Sun11:30 AM - 6:00 PMMon - Sat10:00 AM - 8:00 PMHours Hours Today: 10:00 AM - 8:00 PM	"Harvey Nichols flagship department store in Knightsbridge is located in one of London’s most fashionable and exclusive shopping districts. With a total of eight floors, the store houses hundreds of exclusive brands across menswear, womenswear, beauty, food and wine, including designers such as Alexander McQueen, Valentino and Versace.

The Knightsbridge store also boasts a number of services such as the Style Concierge, where a team of fashion experts are on-hand to guide customers through the collections and seasonal trends. Alternatively, if customers are looking to take a break from shopping, the department store also has a spa and salon where they can indulge in an assortment of beauty treatments such as manicures, pedicures, blow-dries and tanning. 

After a day of luxury shopping, customers can take a trip up to the Fifth Floor Cafe to enjoy an array of modern European dishes, exquisite bottles of wine and delicious cocktails whilst overlooking the rooftops of Knightsbridge on our beautiful terrace.

The Harvey Nichols flagship store is the perfect place to enjoy a luxury retail shopping experience in London, or simply stop for a spot of afternoon tea, a light lunch or a few drinks after work."
230	Fleet Street	"missing"	"missing"	"missing"
231	Estorick Collection of Modern Italian Art	"missing"	Closed Sun12:00 PM - 5:00 PMWed - Sat11:00 AM - 6:00 PMHours Hours Today: Closed	The Estorick Collection of Modern Italian Art houses a rare display of masterful works by the top 20th-century Italian futurist artists including Balla, Boccioni, Carrá, Serverini, and Russolo.
232	Kempton Park Racecourse	"missing"	"missing"	"missing"
233	Photographers' Gallery	"missing"	Closed Now Sun11:30 AM - 6:00 PMMon - Wed10:00 AM - 6:00 PMThu10:00 AM - 8:00 PMFri - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
234	Painted Hall	"missing"	"missing"	"missing"
235	Chiswick House and Gardens	Suggested Duration: 2-3 hours	"missing"	"missing"
236	Fortune Theatre	"missing"	"missing"	"missing"
237	The Other Palace	"missing"	"missing"	"missing"
238	Old St Pancras Church	"missing"	Closed Sun9:00 AM - 10:30 AMThu7:00 PM - 8:00 PMHours Hours Today: Closed	"missing"
239	Burgh House	"missing"	Closed Sun12:00 PM - 5:00 PMWed - Fri12:00 PM - 5:00 PMHours Hours Today: Closed	"missing"
240	Clapham Common	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
241	Camden	"missing"	"missing"	"missing"
242	Deen City Farm	Suggested Duration: 1-2 hours	Closed Now Tue - Sun10:00 AM - 4:30 PMHours Hours Today: 10:00 AM - 4:30 PM	Established in 1978, Deen City Farm is a registered charity and one of the capital's oldest community run farms. Receiving over 60,000 visits a year, our 5 acre site in South West London is free to enter and includes a farmyard, riding school, garden, café and shop. We are home to animals of all shapes and sizes, including cows, sheep, pigs, goats and our resident barn owl Edna!
243	Thames Barrier Park	"missing"	"missing"	"missing"
244	Sutton House	"missing"	Closed Now Sun - Sat12:00 PM - 5:00 PMHours Hours Today: 12:00 PM - 5:00 PM	"missing"
245	Ragged School Museum	"missing"	Closed Wed - Thu10:00 AM - 5:00 PMHours Hours Today: Closed	"missing"
246	Lincoln's Inn	Suggested Duration: < 1 hour	Closed Now Mon - Fri9:00 AM - 4:30 PMHours Hours Today: 9:00 AM - 4:30 PM	"missing"
247	Statue of Eros (Anteros)	"missing"	"missing"	"missing"
248	Whitecross Street Market	"missing"	Closed Now Mon - Fri11:45 AM - 2:15 PMHours Hours Today: 11:45 AM - 2:15 PM	"missing"
249	East London Mosque & London Muslim Centre	Suggested Duration: < 1 hour	Closed Now Sun - Sat10:00 AM - 10:00 PMHours Hours Today: 10:00 AM - 10:00 PM	The East London Mosque & London Muslim Centre is in the heart of Tower Hamlets, a diverse borough with a rich history, and home to the UK's largest Muslim community. It is our belief that our primary concern should be to serve the needs of the local community and to work towards the common good. In recent years there have been noticeable improvements in Tower Hamlets in education, health provision, environment, and community cohesion. Our partnerships with Tower Hamlets Council, the local Primary Care Trust, The East London Communities Organisation (TELCO), Tower Hamlets Interfaith Forum, the Metropolitan Police and many others have helped us to contribute towards these improvements. This builds on the very foundation of the mosque: a coming together of distinguished Muslims and non-Muslims to create London's first mosque.
250	Dulwich Park	"missing"	"missing"	"missing"
251	London Victoria Station	"missing"	"missing"	"missing"
252	Grosvenor Square	"missing"	"missing"	"missing"
253	Australian War Memorial	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
254	Adelphi Theatre	Suggested Duration: 2-3 hours	"missing"	"missing"
255	Nunhead Cemetery, South London	Suggested Duration: 1-2 hours	"missing"	"missing"
256	Krav Maga Self Defence	Suggested Duration: 1-2 hours	Closed Mon7:00 PM - 10:00 PMWed7:00 PM - 10:00 PMHours Hours Today: Closed	Krav Maga Self Defence is run by Simon Pither, a qualified FEKM Black Belt Instructor with over 25 years of Martial Arts experience. Our club is friendly, the Krav Maga instruction is among the best you will find in the UK, and you will get fitter, stronger and more flexible along the way - what's not to like ?! Self defence is the core framework of Krav Maga and as such, a large part of each class is based around what is called 'scenario based training', where a defence against a specific attack or threat type is demonstrated and then broken down slowly and practised - it is exactly this approach that makes krav maga different from a martial art - you should leave every class with realistic skills to better defend yourself. Join our members from Dulwich, Brixton, Norwood, Herne Hill, Streatham, Tooting, Wimbledon and many more and find out what Krav Maga is all about...
257	Paternoster Square	"missing"	"missing"	"missing"
258	David Bowie Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
259	Discover Greenwich Visitor Centre	"missing"	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
260	Shad Thames	"missing"	"missing"	"missing"
261	Sunday Up Market	"missing"	"missing"	"missing"
262	Chelsea	"missing"	"missing"	"A neighborhood in London that is known for King''s Road and Carnaby Street in Soho, which formed the center of '"Swinging London'" in the Sixties."
263	Arcola Theatre	Suggested Duration: 2-3 hours	Closed Now Sun - Sat10:00 AM - 11:00 PMHours Hours Today: 10:00 AM - 11:00 PM	"missing"
264	London Transport Museum Depot	"missing"	"missing"	"missing"
265	Lincoln's Inn Fields	"missing"	"missing"	"missing"
266	Savile Row	"missing"	"missing"	"missing"
267	Selhurst Park	"missing"	"missing"	"missing"
270	The Thames Barrier	"missing"	"missing"	"PLEASE NOTE :
The Thames Barrier Cafe and Information Centre is closed for refurbishment from 31st October 2017, please check our website in 2018 for re opening dates.
The Thames Barrier Information Centre is a small, informative exhibition about the past, present and future of the Thames Barrier. It explains the flood risk to London and the history and environment of the River Thames. There is a working model of the Thames Barrier, a film on the construction, a virtual technical tour film and interactive displays.
The View Cafe offers refreshments, snacks and light lunches with an outside play area and picnic benches. There is parking on site for cars and coaches, parking fee applies."
271	Platform 9 3/4	"missing"	"missing"	"missing"
272	Bankside Gallery	Suggested Duration: < 1 hour	Closed Now Sun - Sat11:00 AM - 6:00 PMHours Hours Today: 11:00 AM - 6:00 PM	"missing"
273	Abney Park Cemetery	"missing"	Closed Now Sun - Sat8:00 AM - 4:00 PMHours Hours Today: 8:00 AM - 4:00 PM	"missing"
274	Mansion House of City of London	"missing"	"missing"	"missing"
275	Millennium Mile	"missing"	"missing"	"missing"
276	Hammersmith	"missing"	"missing"	"missing"
277	Traffic Light Tree	Suggested Duration: < 1 hour	"missing"	"missing"
278	HQS Wellington	Suggested Duration: 1-2 hours	"missing"	"missing"
279	Lambeth Palace	"missing"	"missing"	"missing"
280	St. Etheldreda's	"missing"	"missing"	"missing"
281	Bloomsbury	"missing"	"missing"	This centrally located neighborhood boasts many of London's top attractions such as the British Museum, shopping on Oxford Street, the bright lights of Theatreland, Soho, Holborn and Covent Garden.
282	Strand	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
283	The Cinema Museum	"missing"	"missing"	London’s Cinema Museum is devoted to keeping alive the spirit of cinema from the days before the multiplex. The Museum houses a unique collection of artefacts, memorabilia and equipment that preserves the history and grandeur of cinema from the 1890s to the present day.The Museum is available most days for visits by guided tour but it is essential that these are booked in advance by phone or email.
284	Bunhill Fields	"missing"	"missing"	"missing"
285	Beavertown Brewery	Suggested Duration: 2-3 hours	"missing"	"missing"
286	Roman Amphitheatre	Suggested Duration: < 1 hour	"missing"	"missing"
287	Halcyon Gallery	"missing"	Closed Now Sun11:00 AM - 5:00 PMMon - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
288	New Zealand Memorial	"missing"	"missing"	"missing"
289	Little Ben	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
290	Trinity Hill Memorial	"missing"	"missing"	"missing"
291	Cecil Court	"missing"	"missing"	"missing"
292	575 Wandsworth Road	"missing"	"missing"	"missing"
293	St Paul's Church	"missing"	"missing"	"missing"
294	The London Loop	"missing"	"missing"	"missing"
295	London Wall	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
296	Royal London Hospital Museum	"missing"	Closed Now Tue - Fri10:00 AM - 4:30 PMHours Hours Today: 10:00 AM - 4:30 PM	"missing"
297	Holborn	"missing"	"missing"	"missing"
298	Jermyn Street Theatre	"missing"	Closed Now Mon - Sat7:30 PM - 9:15 PMSat3:30 PM - 5:15 PMHours Hours Today: 7:30 PM - 9:15 PM	"missing"
299	Kensal Green Cemetery	"missing"	"missing"	"missing"
300	Waterlow Park	Suggested Duration: < 1 hour	Closed Now Sun - Sat9:00 AM - 4:30 PMHours Hours Today: 9:00 AM - 4:30 PM	"missing"
301	The Design Museum	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
302	Woolwich Ferry	Suggested Duration: < 1 hour	Closed Now Sun11:30 AM - 7:30 PMMon - Sat6:00 AM - 8:00 PMHours Hours Today: 6:00 AM - 8:00 PM	"missing"
303	St. John's Wood	"missing"	"missing"	"missing"
304	West Norwood Cemetery	"missing"	Closed Now Mon - Fri8:00 AM - 4:00 PMSat - Sun10:00 AM - 4:00 PMHours Hours Today: 8:00 AM - 4:00 PM	"missing"
305	Sherlock Holmes Museum	Suggested Duration: < 1 hour	Closed Now Sun - Sat9:30 AM - 6:00 PMHours Hours Today: 9:30 AM - 6:00 PM	"missing"
306	City of London Police Museum	Suggested Duration: 1-2 hours	"missing"	"missing"
307	St Pancras Parish Church	"missing"	"missing"	"missing"
308	The Who Shop	Suggested Duration: 1-2 hours	Closed Now Mon - Sat9:30 AM - 5:30 PMHours Hours Today: 9:30 AM - 5:30 PM	"missing"
309	Everyman Cinemas Screen on the Green	"missing"	"missing"	"missing"
310	Battersea Power Station	"missing"	"missing"	"missing"
311	Park Lane	"missing"	"missing"	Upscale thoroughfare that is lined with fine shops, hotels and restaurants, and also is a fun place to people-watch.
312	RAF Museum Hendon	Suggested Duration: More than 3 hours	Closed Now Sun - Sat10:00 AM - 5:00 PMMon6:00 PM - 9:00 PMWed - Fri6:00 PM - 9:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
313	St. Magnus The Martyr	Suggested Duration: < 1 hour	Closed Now Sun - Fri9:00 AM - 7:00 PMHours Hours Today: 9:00 AM - 7:00 PM	"missing"
314	Billingsgate Roman Bath House	Suggested Duration: < 1 hour	"missing"	"missing"
315	Angel	"missing"	"missing"	"missing"
316	Peckham Rye Park	"missing"	Closed Now Sun - Sat7:30 AM - 9:30 PMHours Hours Today: 7:30 AM - 9:30 PM	"missing"
317	Tricycle Theatre	"missing"	"missing"	Opened in 1980, The Tricycle offers innovative theater, cinema and visual arts programs.
318	Royal College of Physicians	Suggested Duration: 1-2 hours	Closed Now Mon - Fri9:00 AM - 5:00 PMHours Hours Today: 9:00 AM - 5:00 PM	"missing"
319	Exmouth Market	"missing"	"missing"	"missing"
320	St. Margarets Church Westminster Abbey	Suggested Duration: 1-2 hours	Closed Now Sun2:00 PM - 4:30 PMMon - Fri9:30 AM - 3:30 PMSat9:30 AM - 1:30 PMHours Hours Today: 9:30 AM - 3:30 PM	"missing"
321	Elizabeth Garrett Anderson Room	"missing"	"missing"	"missing"
322	Tower 42	"missing"	Closed Now Sun - Sat8:00 AM - 11:00 PMHours Hours Today: 8:00 AM - 11:00 PM	"missing"
323	Gabriel's Wharf	"missing"	Closed Now Tue - Sun11:00 AM - 6:00 PMHours Hours Today: 11:00 AM - 6:00 PM	"missing"
324	Shakespeare Monument	"missing"	"missing"	"missing"
325	Blackheath	"missing"	"missing"	"missing"
326	Finsbury Park	"missing"	"missing"	"missing"
327	Paul Smith Sale Shop	"missing"	Closed Now Sun12:00 PM - 6:00 PMMon - Wed10:30 AM - 6:30 PMThu10:30 AM - 7:00 PMFri - Sat10:30 AM - 6:30 PMHours Hours Today: 10:30 AM - 6:30 PM	"missing"
328	Royal Artillery Memorial	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
329	The London Pass	Suggested Duration: More than 3 hours	"missing"	Used by more than 3 million visitors, The London Pass® is a sightseeing city card helping visitors see London's top attractions, saving them both time and money.
330	Speakers' Corner	"missing"	Closed Sun12:00 PM - 7:30 PMHours Hours Today: Closed	"missing"
331	Heron Tower	"missing"	"missing"	"missing"
332	Victoria Station Travel Information Centre	"missing"	"missing"	"missing"
333	Castle Climbing Centre	"missing"	Closed Now Mon - Fri12:00 PM - 10:00 PMSat - Sun9:00 AM - 7:00 PMHours Hours Today: 12:00 PM - 10:00 PM	"missing"
334	The View Tube	"missing"	Closed Now Sun - Sat9:00 AM - 5:00 PMHours Hours Today: 9:00 AM - 5:00 PM	"missing"
335	Chickenshed Theatre	Suggested Duration: 2-3 hours	"missing"	Chickenshed is a company that makes beautiful and inspirational theatre. By bringing together people of all ages and from all backgrounds we produce outstanding theatre that entertains, inspires, challenges and informs both audiences and participants alike. Our vision is a society that celebrates diversity and enables every individual to flourish. We are a theatre, and so much more besides! We have been delivering performance for over 43 years, and our inclusive creative process is renowned nationally and internationally. Our purpose-built venue plays host to a huge range of productions and activities across the whole year, offering a welcoming, creative hub to the community. We create in-house productions that take place on our main stage, the Rayne Theatre. We also present regular interactive shows for very young children, new and smaller scale work for adults and families in our intimate Studio Theatre and have a busy programme of live music and comedy events in the Bar.
336	Buddhapadipa Temple	Suggested Duration: 1-2 hours	"missing"	"missing"
337	White Bear Theatre	Suggested Duration: 1-2 hours	"missing"	"missing"
338	Victoria Miro Gallery	"missing"	"missing"	"Visit this art emporium considered to be '"the most beautiful commercial gallery in London,'" by Time Out magazine."
339	All Souls Church	Suggested Duration: 1-2 hours	"missing"	"missing"
340	St Alfege Church	Suggested Duration: < 1 hour	Closed Now Sun12:00 PM - 4:00 PMMon - Fri11:00 AM - 4:00 PMSat10:00 AM - 4:00 PMHours Hours Today: 11:00 AM - 4:00 PM	"missing"
341	Inner Temple	"missing"	"missing"	"missing"
342	Emery Walker Arts & Crafts house	"missing"	Closed Sat11:00 AM - 3:00 PMHours Hours Today: Closed	"missing"
343	Vestry House Museum	"missing"	Closed Wed - Sun10:00 AM - 5:00 PMHours Hours Today: Closed	"missing"
344	St Mary Abbots Church	Suggested Duration: < 1 hour	"missing"	"missing"
345	Bloomsbury Square	"missing"	"missing"	"missing"
346	Woolwich Foot Tunnel	"missing"	"missing"	"missing"
347	Alfies Antiques Market	"missing"	Closed Now Tue - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
348	Tooting Bec Lido	"missing"	"missing"	"missing"
349	Loftus Road Stadium	"missing"	"missing"	"missing"
350	Old Compton Street	"missing"	"missing"	"missing"
351	Greenwich Theatre	"missing"	"missing"	"missing"
352	Rich Mix	Suggested Duration: 2-3 hours	Closed Now Mon - Fri9:00 AM - 11:00 PMSat - Sun10:00 AM - 11:00 PMHours Hours Today: 9:00 AM - 11:00 PM	Time Out Awards 2016 Winner: Culture in Shoreditch Time Out Awards 2015 Winner: Culture in Shoreditch 'A hub for real artists from a diverse array of countries, let alone backgrounds' London Remixed Festival Rich Mix is East London's independent arts venue. Once a vast leather factory, 35-47 Bethnal Green Road was transformed into a multi-arts venue, all 62,000 feet of it. Stretched over five floors we have a three screen cinema showing the latest releases as well as taking part in a number of independent film festivals. There is also a multitude of flexible performance spaces where we work with both emerging and established artists, and support them to deliver and develop their artistic practice. Our aim is to be a place where the communities of the world, who are the citizens of East London and beyond, can come together to experience and make world class art and feel that it's a place where they belong. We are committed to delivering excellent art to increasing and increasingly diverse audiences. In addition to our full programme of cinema, live music, theatre, dance, spoken word, comedy, family activities and exhibitions, we are proud to be home to 20 creative businesses. All of whom help make Rich Mix the vibrant, special place it is.
353	Little Angel Theatre	"missing"	"missing"	"missing"
354	Berkeley Square	Suggested Duration: < 1 hour	"missing"	"missing"
355	Ealing	"missing"	"missing"	"missing"
356	St Mary Aldermanbury Garden	Suggested Duration: < 1 hour	"missing"	"missing"
357	Wanstead Park	"missing"	"missing"	"missing"
358	Hanwell Zoo	"missing"	Closed Now Sun - Sat10:00 AM - 4:30 PMHours Hours Today: 10:00 AM - 4:30 PM	"missing"
359	Hayward Gallery	"missing"	Closed Now Mon12:00 PM - 6:00 PMTue - Wed10:00 AM - 6:00 PMThu - Fri10:00 AM - 8:00 PMSat - Sun10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	This London gallery offers a changing program of national and international exhibits along with educational activities, tours, lectures and workshops related to each showing.
360	Nomadic Community Garden	"missing"	"missing"	"missing"
361	London Fields Park	"missing"	"missing"	"missing"
362	Saint Marylebone Parish Church	Suggested Duration: < 1 hour	"missing"	"missing"
363	WIlliam Wallace Memorial	"missing"	"missing"	"missing"
364	Paddington Waterside	"missing"	"missing"	"missing"
